ticker,company_name,file_date,cik,accession_no
NRIX,"Nurix Therapeutics, Inc.",2020-07-24,1549595,1549595-0001193125-20-198537
MARA,"Marathon Patent Group, Inc.",2020-07-27,1507605,1507605-0001493152-20-014055
LCID,Churchill Capital Corp IV,2020-07-30,1811210,1811210-0001104659-20-088441
VERX,"Vertex, Inc.",2020-07-30,1806837,1806837-0001047469-20-004331
RKT,"Rocket Companies, Inc.",2020-08-07,1805284,1805284-0001047469-20-004448
BEKE,KE Holdings Inc.,2020-08-13,1809587,1809587-0001047469-20-004582
IRON,FS Development Corp.,2020-08-13,1816736,1816736-0001213900-20-021906
NTST,NETSTREIT Corp.,2020-08-14,1798100,1798100-0001047469-20-004626
CCC,Dragoneer Growth Opportunities Corp.,2020-08-17,1818201,1818201-0001140361-20-018508
IRTC,"iRhythm Technologies, Inc.",2020-08-19,1388658,1388658-0001388658-20-000231
HRMY,"Harmony Biosciences Holdings, Inc.",2020-08-20,1802665,1802665-0001193125-20-224919
GTM,ZoomInfo Technologies Inc.,2020-08-21,1794515,1794515-0001628280-20-012984
IMVT,"Immunovant, Inc.",2020-09-03,1764013,1764013-0001193125-20-238296
TNGX,BCTG Acquisition Corp.,2020-09-04,1819133,1819133-0001213900-20-025460
TXG,"10x Genomics, Inc.",2020-09-11,1770787,1770787-0001193125-20-244106
FROG,JFrog Ltd,2020-09-16,1800667,1800667-0001193125-20-247176
ADT,ADT Inc.,2020-09-16,1703056,1703056-0001193125-20-246506
STEP,StepStone Group Inc.,2020-09-16,1796022,1796022-0001193125-20-247268
ADT,ADT Inc.,2020-09-17,1703056,1703056-0001193125-20-248080
BNL,"Broadstone Net Lease, Inc.",2020-09-17,1424182,1424182-0001193125-20-248132
DYN,"Dyne Therapeutics, Inc.",2020-09-17,1818794,1818794-0001193125-20-248167
U,Unity Software Inc.,2020-09-18,1810806,1810806-0001193125-20-249257
BSY,BENTLEY SYSTEMS INC,2020-09-24,1031308,1031308-0001104659-20-108119
PWP,FinTech Acquisition Corp. IV,2020-09-25,1777835,1777835-0001213900-20-028485
TSHA,"Taysha Gene Therapies, Inc.",2020-09-25,1806310,1806310-0001193125-20-253550
RKLB,Vector Acquisition Corp,2020-09-28,1819994,1819994-0001104659-20-109352
ASAN,"Asana, Inc.",2020-09-30,1477720,1477720-0001193125-20-258487
BEAM,Beam Therapeutics Inc.,2020-10-01,1745999,1745999-0001193125-20-261322
ASO,"Academy Sports & Outdoors, Inc.",2020-10-02,1817358,1817358-0001193125-20-262578
IMNM,Immunome Inc.,2020-10-05,1472012,1472012-0001104659-20-112273
GBTG,Apollo Strategic Growth Capital,2020-10-05,1820872,1820872-0001104659-20-112185
ARQT,"Arcutis Biotherapeutics, Inc.",2020-10-05,1787306,1787306-0001628280-20-014284
HLMN,"Landcadia Holdings III, Inc.",2020-10-13,1822492,1822492-0001104659-20-114574
SOFI,Social Capital Hedosophia Holdings Corp. V,2020-10-13,1818874,1818874-0001104659-20-114514
TARS,"Tarsus Pharmaceuticals, Inc.",2020-10-16,1819790,1819790-0001193125-20-271157
ARRY,"Array Technologies, Inc.",2020-10-16,1820721,1820721-0001193125-20-271135
PRAX,"Praxis Precision Medicines, Inc.",2020-10-16,1689548,1689548-0001193125-20-271080
RPRX,Royalty Pharma plc,2020-10-19,1802768,1802768-0001193125-20-272071
MLTX,Helix Acquisition Corp,2020-10-21,1821586,1821586-0001213900-20-032599
OWL,ALTIMAR ACQUISITION CORP.,2020-10-23,1823945,1823945-0001104659-20-117773
ALGM,"ALLEGRO MICROSYSTEMS, INC.",2020-10-30,866291,866291-0001193125-20-282664
DMRA,"Galecto, Inc.",2020-10-30,1800315,1800315-0001193125-20-282633
GPGI,Roman DBDR Tech Acquisition Corp.,2020-11-09,1823144,1823144-0001104659-20-123065
ORIC,"Oric Pharmaceuticals, Inc.",2020-11-13,1796280,1796280-0001193125-20-293217
BSY,BENTLEY SYSTEMS INC,2020-11-16,1031308,1031308-0001104659-20-125319
OLMA,"Olema Pharmaceuticals, Inc.",2020-11-19,1750284,1750284-0001104659-20-127387
BEKE,KE Holdings Inc.,2020-11-19,1809587,1809587-0001047469-20-005554
MRVI,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2020-11-23,1823239,1823239-0001193125-20-301431
SHC,Sotera Health Co,2020-11-23,1822479,1822479-0001193125-20-299567
GRND,Tiga Acquisition Corp.,2020-11-25,1820144,1820144-0001140361-20-026595
GTM,ZoomInfo Technologies Inc.,2020-12-02,1794515,1794515-0001628280-20-016991
ENVX,Rodgers Silicon Valley Acquisition Corp,2020-12-02,1828318,1828318-0001104659-20-131522
NVTS,Live Oak Acquisition Corp II,2020-12-04,1821769,1821769-0001213900-20-041071
ARRY,"Array Technologies, Inc.",2020-12-04,1820721,1820721-0001193125-20-310720
ONDS,Ondas Holdings Inc.,2020-12-07,1646188,1646188-0001213900-20-041183
AI,"C3.ai, Inc.",2020-12-09,1577526,1577526-0001628280-20-017290
DASH,DoorDash Inc,2020-12-09,1792789,1792789-0001193125-20-313884
NBTX,Nanobiotix S.A.,2020-12-11,1760854,1760854-0001140361-20-028188
ABNB,"Airbnb, Inc.",2020-12-11,1559720,1559720-0001193125-20-315318
ABCL,AbCellera Biologics Inc.,2020-12-14,1703057,1703057-0001193125-20-316986
UPST,"Upstart Holdings, Inc.",2020-12-16,1647639,1647639-0001193125-20-319050
VNT,Vontier Corp,2021-01-12,1786842,1786842-0001193125-21-007209
VNT,Vontier Corp,2021-01-14,1786842,1786842-0001193125-21-008527
AFRM,"Affirm Holdings, Inc.",2021-01-14,1820953,1820953-0001104659-21-004276
LMND,"Lemonade, Inc.",2021-01-14,1691421,1691421-0001104659-21-004294
PLTK,Playtika Holding Corp.,2021-01-15,1828016,1828016-0001193125-21-010088
DRVN,Driven Brands Holdings Inc.,2021-01-19,1804745,1804745-0001193125-21-010884
SMMT,Summit Therapeutics Inc.,2021-01-20,1599298,1599298-0000921895-21-000106
DYN,"Dyne Therapeutics, Inc.",2021-01-21,1818794,1818794-0001193125-21-013622
LUXE,MYT Netherlands Parent B.V.,2021-01-22,1831907,1831907-0001104659-21-006403
RLX,RLX Technology Inc.,2021-01-22,1828365,1828365-0001047469-21-000170
DFH,"Dream Finders Homes, Inc.",2021-01-22,1825088,1825088-0001140361-21-001935
SHLS,"Shoals Technologies Group, Inc.",2021-01-28,1831651,1831651-0001193125-21-020912
ZIM,ZIM Integrated Shipping Services Ltd.,2021-01-29,1654126,1654126-0001104659-21-009381
ASO,"Academy Sports & Outdoors, Inc.",2021-01-29,1817358,1817358-0001193125-21-021505
OPCH,"Option Care Health, Inc.",2021-02-08,1014739,1014739-0001104659-21-013705
PHVS,Pharvaris N.V.,2021-02-08,1830487,1830487-0001193125-21-032407
ALGM,"ALLEGRO MICROSYSTEMS, INC.",2021-02-08,866291,866291-0001193125-21-032354
TERN,"Terns Pharmaceuticals, Inc.",2021-02-08,1831363,1831363-0001193125-21-032311
OPCH,"Option Care Health, Inc.",2021-02-10,1014739,1014739-0001104659-21-017048
BEPC,Brookfield Renewable Corp,2021-02-12,1791863,1791863-0001193125-21-038904
SOC,Flame Acquisition Corp.,2021-02-26,1831481,1831481-0001564590-21-009504
GTES,Gates Industrial Corp plc,2021-03-01,1718512,1718512-0001104659-21-029999
LUCK,Isos Acquisition Corp.,2021-03-04,1840572,1840572-0001213900-21-013495
INNV,InnovAge Holding Corp.,2021-03-05,1834376,1834376-0001104659-21-032415
NRIX,"Nurix Therapeutics, Inc.",2021-03-05,1549595,1549595-0001193125-21-071458
RBLX,Roblox Corp,2021-03-10,1315098,1315098-0001193125-21-075435
SYM,SVF Investment Corp. 3,2021-03-10,1837240,1837240-0001193125-21-076196
CPNG,"Coupang, Inc.",2021-03-11,1834584,1834584-0001628280-21-004565
OPCH,"Option Care Health, Inc.",2021-03-17,1014739,1014739-0001104659-21-037440
SHC,Sotera Health Co,2021-03-18,1822479,1822479-0001193125-21-085891
TUYA,Tuya Inc.,2021-03-19,1829118,1829118-0001193125-21-087364
STEP,StepStone Group Inc.,2021-03-19,1796022,1796022-0001193125-21-087706
ARRY,"Array Technologies, Inc.",2021-03-22,1820721,1820721-0001193125-21-089722
DOCN,"DigitalOcean Holdings, Inc.",2021-03-24,1582961,1582961-0001193125-21-092761
EWTX,"Edgewise Therapeutics, Inc.",2021-03-26,1710072,1710072-0001104659-21-042550
QS,QuantumScape Corp,2021-03-26,1811414,1811414-0001193125-21-096510
BVC,Hywin Holdings Ltd.,2021-03-29,1785680,1785680-0001193125-21-098157
ALHC,"Alignment Healthcare, Inc.",2021-03-29,1832466,1832466-0001193125-21-098136
GSAT,"Globalstar, Inc.",2021-03-30,1366868,1366868-0001366868-21-000026
COMP,"Compass, Inc.",2021-04-01,1563190,1563190-0001193125-21-104054
KARO,Karooooo Ltd.,2021-04-05,1828102,1828102-0001104659-21-046631
NTST,NETSTREIT Corp.,2021-04-08,1798100,1798100-0001104659-21-048108
MRVI,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2021-04-09,1823239,1823239-0001193125-21-111541
HGTY,Aldel Financial Inc.,2021-04-12,1840776,1840776-0001104659-21-049047
UPST,"Upstart Holdings, Inc.",2021-04-12,1647639,1647639-0001193125-21-112982
COIN,"Coinbase Global, Inc.",2021-04-14,1679788,1679788-0001628280-21-006850
APP,Applovin Corp,2021-04-15,1751008,1751008-0001193125-21-117730
ALKT,"ALKAMI TECHNOLOGY, INC.",2021-04-15,1529274,1529274-0001193125-21-117059
RXRX,"RECURSION PHARMACEUTICALS, INC.",2021-04-16,1601830,1601830-0001193125-21-119404
SMMT,Summit Therapeutics Inc.,2021-04-21,1599298,1599298-0001193805-21-000518
PATH,"UiPath, Inc.",2021-04-21,1734722,1734722-0001193125-21-125014
DV,"DoubleVerify Holdings, Inc.",2021-04-22,1819928,1819928-0001047469-21-000997
SKYT,"SkyWater Technology, Inc",2021-04-22,1819974,1819974-0001193125-21-126725
RCAT,"Red Cat Holdings, Inc.",2021-04-30,748268,748268-0001554795-21-000154
AVAH,"Aveanna Healthcare Holdings, Inc.",2021-04-30,1832332,1832332-0001193125-21-145016
PRVA,"Privia Health Group, Inc.",2021-04-30,1759655,1759655-0001193125-21-145718
RLAY,"Relay Therapeutics, Inc.",2021-05-06,1812364,1812364-0001193125-21-153334
ASO,"Academy Sports & Outdoors, Inc.",2021-05-07,1817358,1817358-0001140361-21-016477
GLBE,Global-E Online Ltd.,2021-05-13,1835963,1835963-0001193125-21-160465
PRAX,"Praxis Precision Medicines, Inc.",2021-05-14,1689548,1689548-0001193125-21-162079
VERA,"Vera Therapeutics, Inc.",2021-05-17,1831828,1831828-0001193125-21-162650
PAY,"Paymentus Holdings, Inc.",2021-05-26,1841156,1841156-0001564590-21-030067
GLOB,Globant S.A.,2021-05-26,1557860,1557860-0001104659-21-072486
DAWN,"Day One Biopharmaceuticals, Inc.",2021-05-27,1845337,1845337-0001193125-21-175319
FIGS,"FIGS, Inc.",2021-05-28,1846576,1846576-0001193125-21-176051
CNTA,Centessa Pharmaceuticals plc,2021-06-01,1847903,1847903-0001193125-21-178516
ZIM,ZIM Integrated Shipping Services Ltd.,2021-06-04,1654126,1654126-0001104659-21-077128
CLVT,CLARIVATE Plc,2021-06-08,1764046,1764046-0001104659-21-078319
MQ,"Marqeta, Inc.",2021-06-10,1522540,1522540-0001193125-21-187099
OPCH,"Option Care Health, Inc.",2021-06-10,1014739,1014739-0001104659-21-079116
GENI,Genius Sports Ltd,2021-06-11,1834489,1834489-0001193125-21-188932
LFST,"LifeStance Health Group, Inc.",2021-06-11,1845257,1845257-0001193125-21-188998
MNDY,monday.com Ltd.,2021-06-11,1845338,1845338-0001104659-21-080087
ZETA,Zeta Global Holdings Corp.,2021-06-14,1851003,1851003-0001193125-21-189216
BZ,Kanzhun Ltd,2021-06-14,1842827,1842827-0001193125-21-189628
RERE,AiHuiShou International Co. Ltd.,2021-06-21,1838957,1838957-0001193125-21-195246
ATAI,ATAI Life Sciences B.V.,2021-06-21,1840904,1840904-0001193125-21-195060
YMM,Full Truck Alliance Co. Ltd.,2021-06-23,1838413,1838413-0001193125-21-196842
FA,FIRST ADVANTAGE CORP,2021-06-24,1210677,1210677-0001193125-21-198716
CXM,"Sprinklr, Inc.",2021-06-24,1569345,1569345-0001193125-21-197574
CFLT,"Confluent, Inc.",2021-06-25,1699838,1699838-0001193125-21-199382
DOCS,"Doximity, Inc.",2021-06-25,1516513,1516513-0001628280-21-012935
GLUE,"Monte Rosa Therapeutics, Inc.",2021-06-25,1826457,1826457-0001193125-21-199386
LZ,"LEGALZOOM.COM, INC.",2021-06-30,1286139,1286139-0001193125-21-204774
S,"SentinelOne, Inc.",2021-06-30,1583708,1583708-0001628280-21-013240
INTA,"Intapp, Inc.",2021-07-01,1565687,1565687-0001193125-21-204971
EVCM,EverCommerce Inc.,2021-07-06,1853145,1853145-0001140361-21-023401
OKLO,AltC Acquisition Corp.,2021-07-09,1849056,1849056-0001104659-21-090716
ERAS,"Erasca, Inc.",2021-07-16,1761918,1761918-0001193125-21-217534
STVN,Stevanato Group S.p.A.,2021-07-16,1849853,1849853-0001193125-21-217250
PECO,"Phillips Edison & Company, Inc.",2021-07-16,1476204,1476204-0001476204-21-000152
SHLS,"Shoals Technologies Group, Inc.",2021-07-16,1831651,1831651-0001193125-21-217466
RGC,Regencell Bioscience Holdings Ltd,2021-07-20,1829667,1829667-0001213900-21-037613
RYAN,"RYAN SPECIALTY GROUP HOLDINGS, INC.",2021-07-23,1849253,1849253-0001193125-21-223004
CNM,"Core & Main, Inc.",2021-07-26,1856525,1856525-0001193125-21-224347
DUOL,"Duolingo, Inc.",2021-07-28,1562088,1562088-0001628280-21-014753
NUVL,"Nuvalent, Inc.",2021-07-30,1861560,1861560-0001193125-21-231450
HOOD,"Robinhood Markets, Inc.",2021-07-30,1783879,1783879-0001628280-21-015076
DOLE,Dole plc,2021-08-02,1857475,1857475-0001193125-21-233436
OPCH,"Option Care Health, Inc.",2021-08-05,1014739,1014739-0001104659-21-100449
DRVN,Driven Brands Holdings Inc.,2021-08-06,1804745,1804745-0001193125-21-238142
GTES,Gates Industrial Corp plc,2021-08-13,1718512,1718512-0001104659-21-105109
VRRM,VERRA MOBILITY Corp,2021-08-19,1682745,1682745-0001193125-21-251628
GENI,Genius Sports Ltd,2021-09-08,1834489,1834489-0001193125-21-267381
OPCH,"Option Care Health, Inc.",2021-09-09,1014739,1014739-0001104659-21-114035
MRVI,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2021-09-13,1823239,1823239-0001193125-21-271450
GLBE,Global-E Online Ltd.,2021-09-13,1835963,1835963-0001193125-21-271407
CLVT,CLARIVATE Plc,2021-09-13,1764046,1764046-0001104659-21-115116
SRAD,Sportradar Group AG,2021-09-15,1836470,1836470-0001193125-21-273996
TYRA,"Tyra Biosciences, Inc.",2021-09-15,1863127,1863127-0001193125-21-273963
ONON,On Holding AG,2021-09-16,1858985,1858985-0001193125-21-275158
BROS,Dutch Bros Inc.,2021-09-16,1866581,1866581-0001628280-21-018784
ASO,"Academy Sports & Outdoors, Inc.",2021-09-16,1817358,1817358-0001140361-21-031477
PRCT,PROCEPT BioRobotics Corp,2021-09-16,1588978,1588978-0001628280-21-018770
FIGS,"FIGS, Inc.",2021-09-17,1846576,1846576-0001193125-21-275396
ACT,"Enact Holdings, Inc.",2021-09-17,1823529,1823529-0001628280-21-018799
FRSH,Freshworks Inc.,2021-09-22,1544522,1544522-0001628280-21-019055
TOST,"Toast, Inc.",2021-09-22,1650164,1650164-0001193125-21-279379
RELY,"Remitly Global, Inc.",2021-09-24,1782170,1782170-0001628280-21-019130
CWAN,"Clearwater Analytics Holdings, Inc.",2021-09-27,1866368,1866368-0001193125-21-284265
INVH,Invitation Homes Inc.,2021-09-27,1687229,1687229-0001193125-21-284183
WRBY,Warby Parker Inc.,2021-09-29,1504776,1504776-0001628280-21-019236
EQT,EQT Corp,2021-09-30,33213,33213-0001104659-21-120936
GENI,Genius Sports Ltd,2021-09-30,1834489,1834489-0001193125-21-288071
LTH,"Life Time Group Holdings, Inc.",2021-10-08,1869198,1869198-0001193125-21-294420
GTLB,Gitlab Inc.,2021-10-14,1653482,1653482-0001628280-21-020056
IHS,IHS Holding Ltd,2021-10-15,1876183,1876183-0001104659-21-126322
COCO,"Vita Coco Company, Inc.",2021-10-22,1482981,1482981-0001193125-21-305555
GFS,GLOBALFOUNDRIES Inc.,2021-10-29,1709048,1709048-0001193125-21-313344
FLNC,"Fluence Energy, Inc.",2021-10-29,1868941,1868941-0001104659-21-131847
CDRE,"Cadre Holdings, Inc.",2021-11-05,1860543,1860543-0001104659-21-135037
RIVN,"Rivian Automotive, Inc. / DE",2021-11-12,1874178,1874178-0001193125-21-328239
FA,FIRST ADVANTAGE CORP,2021-11-12,1210677,1210677-0001193125-21-328075
BRZE,"Braze, Inc.",2021-11-18,1676238,1676238-0001193125-21-333968
IREN,Iris Energy Ltd,2021-11-18,1878848,1878848-0001140361-21-038558
ALHC,"Alignment Healthcare, Inc.",2021-11-19,1832466,1832466-0001193125-21-335384
DV,"DoubleVerify Holdings, Inc.",2021-11-19,1819928,1819928-0001104659-21-141864
EQT,EQT Corp,2021-11-22,33213,33213-0001104659-21-142496
PRVA,"Privia Health Group, Inc.",2021-11-22,1759655,1759655-0001628280-21-023918
APP,AppLovin Corp,2021-12-06,1751008,1751008-0001193125-21-348998
VRRM,VERRA MOBILITY Corp,2021-12-09,1682745,1682745-0001193125-21-352656
IOT,Samsara Inc.,2021-12-15,1642896,1642896-0001193125-21-358031
EMAT,Welsbach Technology Metals Acquisition Corp.,2021-12-29,1866226,1866226-0001213900-21-067815
CNM,"Core & Main, Inc.",2022-01-07,1856525,1856525-0001193125-22-004575
AMLX,"Amylyx Pharmaceuticals, Inc.",2022-01-10,1658551,1658551-0001193125-22-005621
PWP,Perella Weinberg Partners,2022-01-20,1777835,1777835-0001628280-22-001109
CRDO,Credo Technology Group Holding Ltd,2022-01-27,1807794,1807794-0001628280-22-001369
ACLX,"Arcellx, Inc.",2022-02-07,1786205,1786205-0001193125-22-029768
VERA,"Vera Therapeutics, Inc.",2022-02-11,1831828,1831828-0001193125-22-037414
APLD,"Applied Blockchain, Inc.",2022-04-13,1144879,1144879-0001104659-22-045562
EE,"Excelerate Energy, Inc.",2022-04-14,1888447,1888447-0001140361-22-014573
BLTE,"BELITE BIO, INC",2022-04-29,1889109,1889109-0001104659-22-053424
BLCO,Bausch & Lomb Corp,2022-05-06,1860742,1860742-0001193125-22-142702
RYZ,Ryerson Holding Corp,2022-05-12,1481582,1481582-0001193125-22-148631
ACDC,ProFrac Holding Corp.,2022-05-16,1881487,1881487-0001193125-22-150480
CDRE,"Cadre Holdings, Inc.",2022-06-13,1860543,1860543-0001104659-22-070536
ACLX,"Arcellx, Inc.",2022-06-16,1786205,1786205-0001193125-22-175611
IE,Ivanhoe Electric Inc.,2022-06-29,1879016,1879016-0001104659-22-075413
SMMT,Summit Therapeutics Inc.,2022-07-18,1599298,1599298-0001599298-22-000077
OPCH,"Option Care Health, Inc.",2022-08-18,1014739,1014739-0001104659-22-092377
GCT,GigaCloud Technology Inc,2022-08-19,1857816,1857816-0001193125-22-224561
CRGY,Crescent Energy Co,2022-09-09,1866175,1866175-0001193125-22-241990
AMLX,"Amylyx Pharmaceuticals, Inc.",2022-10-07,1658551,1658551-0001193125-22-259634
BHVN,Biohaven Ltd.,2022-10-24,1935979,1935979-0001628280-22-026837
MBLY,Mobileye Global Inc.,2022-10-27,1910139,1910139-0001104659-22-112004
DV,"DoubleVerify Holdings, Inc.",2022-11-14,1819928,1819928-0001104659-22-118606
ATAT,Atour Lifestyle Holdings Ltd,2022-11-14,1853717,1853717-0001104659-22-117548
ESAB,ESAB Corp,2022-11-17,1877322,1877322-0001193125-22-287718
SKWD,"Skyward Specialty Insurance Group, Inc.",2023-01-13,1519449,1519449-0001104659-23-003801
SMMT,Summit Therapeutics Inc.,2023-02-07,1599298,1599298-0001387131-23-001487
MLYS,"Mineralys Therapeutics, Inc.",2023-02-10,1933414,1933414-0001628280-23-003159
NXT,Nextracker Inc.,2023-02-10,1852131,1852131-0001193125-23-032878
ENLT,Enlight Renewable Energy Ltd.,2023-02-13,1922641,1922641-0001104659-23-018716
RYZ,Ryerson Holding Corp,2023-02-27,1481582,1481582-0001193125-23-050761
OPCH,"Option Care Health, Inc.",2023-03-03,1014739,1014739-0001104659-23-028193
DV,"DoubleVerify Holdings, Inc.",2023-03-07,1819928,1819928-0001104659-23-029587
KVUE,Kenvue Inc.,2023-05-04,1944048,1944048-0001628280-23-015837
RYZ,Ryerson Holding Corp,2023-05-05,1481582,1481582-0001193125-23-137095
RYAN,"RYAN SPECIALTY HOLDINGS, INC.",2023-05-24,1849253,1849253-0001193125-23-152943
GEHC,GE HealthCare Technologies Inc.,2023-06-08,1932393,1932393-0001193125-23-163595
SKWD,"Skyward Specialty Insurance Group, Inc.",2023-06-08,1519449,1519449-0001104659-23-069476
MBLY,Mobileye Global Inc.,2023-06-08,1910139,1910139-0001104659-23-069416
ATAT,Atour Lifestyle Holdings Ltd,2023-06-08,1853717,1853717-0001104659-23-069115
CAVA,"CAVA GROUP, INC.",2023-06-16,1639438,1639438-0001628280-23-022472
MSGE,Madison Square Garden Entertainment Corp.,2023-06-26,1952073,1952073-0001193125-23-173992
NXT,Nextracker Inc.,2023-06-30,1852131,1852131-0001193125-23-179163
KGS,"Kodiak Gas Services, Inc.",2023-06-30,1767042,1767042-0001193125-23-180561
FIHL,Fidelis Insurance Holdings Ltd,2023-06-30,1636639,1636639-0001193125-23-180448
EOSE,"Eos Energy Enterprises, Inc.",2023-06-30,1805077,1805077-0001213900-23-053032
SVV,"Savers Value Village, Inc.",2023-06-30,1883313,1883313-0001193125-23-179214
APGE,"Apogee Therapeutics, Inc.",2023-07-17,1974640,1974640-0001104659-23-081627
RYZ,Ryerson Holding Corp,2023-08-07,1481582,1481582-0001193125-23-204983
DV,"DoubleVerify Holdings, Inc.",2023-08-08,1819928,1819928-0001104659-23-088852
ARM,ARM HOLDINGS PLC /UK,2023-09-14,1973239,1973239-0001193125-23-235320
GENI,Genius Sports Ltd,2023-09-14,1834489,1834489-0001193125-23-234954
GENI,Genius Sports Ltd,2023-09-18,1834489,1834489-0001193125-23-236926
CART,Maplebear Inc.,2023-09-20,1579091,1579091-0001193125-23-237900
KVYO,"Klaviyo, Inc.",2023-09-20,1835830,1835830-0001628280-23-032570
MSGE,Madison Square Garden Entertainment Corp.,2023-09-21,1952073,1952073-0001193125-23-239171
BIRK,Birkenstock Holding plc,2023-10-12,1977102,1977102-0001193125-23-254724
KNF,Knife River Corp,2023-11-06,1955520,1955520-0001628280-23-037041
KNF,Knife River Corp,2023-11-08,1955520,1955520-0001628280-23-037516
HG,"Hamilton Insurance Group, Ltd.",2023-11-13,1593275,1593275-0001628280-23-038412
DV,"DoubleVerify Holdings, Inc.",2023-11-14,1819928,1819928-0001104659-23-118106
SKWD,"Skyward Specialty Insurance Group, Inc.",2023-11-16,1519449,1519449-0001104659-23-119096
SN,"SharkNinja, Inc.",2023-12-06,1957132,1957132-0001104659-23-123973
KSPI,Joint Stock Co Kaspi.kz,2024-01-19,1985487,1985487-0001193125-24-011265
CGON,"CG Oncology, Inc.",2024-01-25,1991792,1991792-0001193125-24-015534
AS,"Amer Sports, Inc.",2024-02-02,1988894,1988894-0001104659-24-010053
GEHC,GE HealthCare Technologies Inc.,2024-02-16,1932393,1932393-0001193125-24-038560
APGE,"Apogee Therapeutics, Inc.",2024-03-11,1974640,1974640-0001104659-24-032615
ALAB,"Astera Labs, Inc.",2024-03-21,1736297,1736297-0001193125-24-073873
RDDT,"Reddit, Inc.",2024-03-21,1713445,1713445-0001628280-24-012380
SN,"SharkNinja, Inc.",2024-03-21,1957132,1957132-0001104659-24-037370
PACS,"PACS Group, Inc.",2024-04-12,2001184,2001184-0001628280-24-016052
ULS,UL Solutions Inc.,2024-04-15,1901440,1901440-0001628280-24-016209
CTRI,"Centuri Holdings, Inc.",2024-04-18,1981599,1981599-0001193125-24-100835
MRX,Marex Group plc,2024-04-26,1997464,1997464-0001193125-24-114579
RBRK,"Rubrik, Inc.",2024-04-26,1943896,1943896-0001193125-24-118478
VIK,Viking Holdings Ltd,2024-05-02,1745201,1745201-0001193125-24-129359
GPGI,"CompoSecure, Inc.",2024-05-08,1823144,1823144-0001104659-24-058795
NNE,Nano Nuclear Energy Inc.,2024-05-09,1923891,1923891-0001493152-24-018288
KVUE,Kenvue Inc.,2024-05-15,1944048,1944048-0001628280-24-023559
